date,cancel_events,gatherings_restrictions,infected,information_campaigns,internal_movement_restrictions,international_movement_restrictions,school_closing,stay_home_restrictions,stringency_index,susceptible,testing_policy,transport_closing,workplace_closing,confirmed,fatal,recovered,derived_reproduction_rate,kap_mortality_rate,rho_transmission_rate,sig_recovery_rate,t/k_mortality_period,t/r_infection_period,t/s_recovery_period,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,facial_coverings,vaccination_policy,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,new_confirmed,new_fatal,new_recovered,new_susceptible,total_removed
2020-03-16,2.0,2.0,4347,2.0,1.0,3.0,3.0,2.0,52.31,326682998.0,1.0,0.0,0.0,4503,91,65,22.339764393533486,0.00023690218420209354,0.007242216650461946,8.728282164149063e-05,175.88131070637235,5.753302984109009,477.3753401077041,94650.0,27328.0,0.097,10.3,0.0,0.0,0.0,0.0,0.0,-12969.148681963201,-1.925681454464967,0.5296481757404241,-8.0,21.0,-1.0,-22.0,-20.0,8.0,1.0,0.0,2.783951,0.919753,7.012346,0.366889,64.77,1.388889,90.596596,6.0,43.0,0.0,0.0,906,23,5,-906.0,156
2020-03-17,2.0,2.0,5715,2.0,1.0,3.0,3.0,2.0,55.09,326681600.0,1.0,1.0,0.0,5901,117,69,21.923907098531554,0.00023738780192348975,0.007118048588660939,8.728282164149063e-05,175.52151512863267,5.853664265939646,477.3753401077041,134499.0,39849.0,0.104,9.6,0.0,0.0,0.0,0.0,0.0,-12888.462655390656,-1.890415962434476,0.6107615767717315,-18.0,14.0,8.0,-26.0,-27.0,11.0,1.0,0.0,3.641975,1.08642,6.506173,0.09525,50.8,1.654321,87.074852,33.0,76.0,325.0,0.0,1398,26,4,-1398.0,186
2020-03-18,2.0,2.0,8096,2.0,1.0,3.0,3.0,2.0,55.09,326679158.0,1.0,1.0,0.0,8343,162,85,21.50397665846051,0.00023772353581649047,0.006988929124627698,8.728282164149063e-05,175.2736283496601,5.961809874397067,477.3753401077041,184895.0,50396.0,0.111,9.0,0.0,0.0,0.0,0.0,0.0,-12797.339920282371,-1.8542035239085277,0.7133402030939221,-24.0,8.0,6.0,-30.0,-31.0,13.0,1.0,0.0,8.006173,4.209877,13.061728,0.479778,0.0,6.777778,92.078009,18.0,94.0,416.0,0.0,2442,45,16,-2442.0,247
2020-03-19,2.0,2.0,12072,2.0,2.0,3.0,3.0,2.0,67.13,326675119.0,1.0,1.0,3.0,12382,212,98,21.079405040436328,0.0002379093858810958,0.006854858258362225,8.728282164149063e-05,175.13670808889884,6.07841403807841,477.3753401077041,245562.0,60667.0,0.114,8.8,0.0,0.0,0.0,0.0,0.0,-12686.244070628307,-1.8158220102167095,0.8515002391704345,-28.0,7.0,2.0,-36.0,-33.0,15.0,1.0,0.0,12.37037,6.17284,17.987654,3.160889,0.0,9.006173,81.464596,34.0,128.0,617.0,0.0,4039,50,13,-4039.0,310
2020-03-20,2.0,2.0,17604,2.0,2.0,3.0,3.0,2.0,67.13,326669505.0,1.0,1.0,3.0,17996,277,115,20.64961320000917,0.00023794535211730557,0.006715835989864514,8.728282164149063e-05,175.1102355894107,6.2042412485280565,477.3753401077041,321885.0,76323.0,0.121,8.3,0.0,0.0,0.0,0.0,0.0,-12497.956670368241,-1.7679386493365543,1.109938791781899,-32.0,5.0,-2.0,-37.0,-36.0,16.0,1.0,0.0,-1.753086,-7.771605,6.690476,3.527778,0.0,-8.339506,61.329589,44.0,172.0,1042.0,0.0,5614,65,17,-5614.0,392
2020-03-21,2.0,4.0,23997,2.0,2.0,3.0,3.0,2.0,72.69,326662995.0,1.0,1.0,3.0,24506,360,149,20.21400844313239,0.00023783143452511986,0.006571862319134571,8.728282164149063e-05,175.19411069383185,6.340161227259799,477.3753401077041,397690.0,75805.0,0.129,7.8,0.0,0.0,0.0,0.0,0.0,-12222.94131349214,-1.7093313125976513,1.5027720453917541,-40.0,-2.0,-3.0,-36.0,-24.0,12.0,1.0,0.0,-0.962963,-7.851852,10.919753,0.0,0.0,-8.074074,58.71103,316.0,488.0,1492.0,0.0,6510,83,34,-6510.0,509
2020-03-22,2.0,4.0,32370,2.0,2.0,3.0,3.0,2.0,72.69,326654458.0,1.0,1.0,3.0,33043,457,216,19.771981699067947,0.00023756763310453874,0.0064229372461723925,8.728282164149063e-05,175.3886508956031,6.4871670187182655,477.3753401077041,471628.0,73938.0,0.137,7.3,0.0,0.0,0.0,0.0,0.0,-11861.198,-1.64,2.03,-44.0,-13.0,-12.0,-44.0,-31.0,11.0,1.0,0.0,4.851852,0.277778,10.302469,0.508,0.0,0.518519,73.615964,139.0,627.0,2173.0,0.0,8537,97,67,-8537.0,673
2020-03-23,2.0,4.0,42591,2.0,2.0,3.0,3.0,2.0,72.69,326644036.0,1.0,1.0,3.0,43465,578,296,19.32290467784025,0.00023715394785556214,0.006269060770977979,8.728282164149063e-05,175.69459434866172,6.646396994516075,477.3753401077041,551491.0,79863.0,0.146,6.8,0.0,0.0,0.0,0.0,0.0,-11412.726729891827,-1.5599447115436,2.6916226556066363,-38.0,-10.0,-23.0,-47.0,-41.0,17.0,1.0,0.0,6.296296,0.858025,14.925926,0.508,0.0,3.598765,83.246419,190.0,817.0,2812.0,0.0,10422,121,80,-10422.0,874
2020-03-24,2.0,4.0,52696,2.0,2.0,3.0,3.0,2.0,72.69,326633613.0,1.0,1.0,3.0,53888,783,409,18.866126884328757,0.00023659037877819008,0.006110232893551334,8.728282164149063e-05,176.11310688897584,6.81916178852056,477.3753401077041,656096.0,104605.0,0.154,6.5,0.0,0.0,0.0,0.0,0.0,-10877.527503167617,-1.4691654472284523,3.4876400122116626,-39.0,-12.0,-10.0,-46.0,-45.0,19.0,1.0,0.0,10.820988,5.271605,19.666667,0.0,0.0,6.54321,75.254567,261.0,1078.0,3938.0,0.0,10423,205,113,-10423.0,1192
2020-03-25,2.0,4.0,66932,2.0,2.0,3.0,3.0,2.0,72.69,326618992.0,1.0,1.0,3.0,68509,1052,525,18.400972459097613,0.0002358769258724225,0.005946453613892453,8.728282164149063e-05,176.64579319302598,7.00697749820541,477.3753401077041,770807.0,114711.0,0.16,6.2,0.0,0.0,0.0,0.0,0.0,-10255.600319827372,-1.3676622070545565,4.418052069815079,-40.0,-15.0,-7.0,-47.0,-46.0,19.0,1.0,0.0,13.790123,6.123457,24.907407,0.0,0.0,5.950617,60.07656,873.0,1951.0,5140.0,0.0,14621,269,116,-14621.0,1577
